ip.src,ip.dst,tcp.len,tcp.time_delta,tcp.flags,mqtt.msgtype,mqtt.msgid,mqtt.qos,mqtt.dupflag,mqtt.len,mqtt.kalive,mqtt.conack.val,mqtt.conflag.passwd,mqtt.retain,timestamp
10.0.0.99,10.0.0.10,15928,0.005370555,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.110950
10.0.0.99,10.0.0.10,3224,0.001329630,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.111834
10.0.0.99,10.0.0.10,1840,0.000249998,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.112200
10.0.0.99,10.0.0.10,1536,0.001982836,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.112513
10.0.0.99,10.0.0.10,2104,0.000277161,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.112853
10.0.0.99,10.0.0.10,49232,0.000009574,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.120958
10.0.0.99,10.0.0.10,14768,0.003982018,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.126132
10.0.0.99,10.0.0.10,18000,0.001221623,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.129015
10.0.0.99,10.0.0.10,1456,0.001492936,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.129809
10.0.0.99,10.0.0.10,17376,0.000006118,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.132339
10.0.0.99,10.0.0.10,17376,0.001320445,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.135720
10.0.0.99,10.0.0.10,17376,0.001444869,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.138937
10.0.0.99,10.0.0.10,26688,0.001448716,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.143138
10.0.0.99,10.0.0.10,28960,0.004829040,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.148037
10.0.0.99,10.0.0.10,24248,0.002409859,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.152209
10.0.0.99,10.0.0.10,3520,0.006677089,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.153547
10.0.0.99,10.0.0.10,40544,0.007191321,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.159501
